,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title,index,type,coordinates,index
0,3.12,Central California,147867642940,1481749735143,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1020866,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1020866&format=geojson,,,,,reviewed,0,150,nc,1020866,",nc1020866,",",nc,",",nearby-cities,origin,phase-data,",28,0.02162,0.08,48,md,earthquake,M 3.1 - Central California,1206,Point,"[-121.5166667, 36.8975, 4.82]",1206
0,2.8,Central California,147861264970,1481749730629,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1020865,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1020865&format=geojson,,,,,reviewed,0,121,nc,1020865,",nc1020865,",",nc,",",nearby-cities,origin,phase-data,",12,0.01081,0.03,63,md,earthquake,M 2.8 - Central California,1207,Point,"[-121.1771667, 36.577, 6.894]",1207
0,2.17,Northern California,147854364800,1481749722105,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1020863,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1020863&format=geojson,,,,,reviewed,0,72,nc,1020863,",nc1020863,",",nc,",",nearby-cities,origin,phase-data,",8,0.01622,0.03,68,md,earthquake,M 2.2 - Northern California,1208,Point,"[-121.4786667, 37.0411667, 3.318]",1208
0,2.37,offshore Central California,147847691180,1481749713782,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1020861,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1020861&format=geojson,,,,,reviewed,0,86,nc,1020861,",nc1020861,",",nc,",",nearby-cities,origin,phase-data,",12,0.2432,0.09,319,md,earthquake,M 2.4 - offshore Central California,1209,Point,"[-121.7083333, 35.872, 10.64]",1209
0,2.33,Northern California,147843898320,1481749708989,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1020860,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1020860&format=geojson,,,,,reviewed,0,84,nc,1020860,",nc1020860,",",nc,",",nearby-cities,origin,phase-data,",14,0.02883,0.15,59,md,earthquake,M 2.3 - Northern California,1210,Point,"[-121.5373333, 36.9421667, 4.782]",1210
0,2.31,Northern California,147840507960,1481749704299,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1020859,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1020859&format=geojson,,,,,reviewed,0,82,nc,1020859,",nc1020859,",",nc,",",nearby-cities,origin,phase-data,",13,0.03694,0.03,73,md,earthquake,M 2.3 - Northern California,1211,Point,"[-121.4653333, 37.0618333, 6.211]",1211
0,2.47,"2km NNE of Granada Hills, CA",147829235670,1454031460250,,https://earthquake.usgs.gov/earthquakes/eventpage/ci3317627,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci3317627&format=geojson,,,,,reviewed,0,94,ci,3317627,",usp00007yt,ci3317627,",",us,ci,",",origin,phase-data,",16,,0.56,84,ml,earthquake,"M 2.5 - 2km NNE of Granada Hills, CA",1212,Point,"[-118.4921667, 34.284, 1.08]",1212
0,3.5,Central California,147827526400,1415316086204,,https://earthquake.usgs.gov/earthquakes/eventpage/usp00007ys,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp00007ys&format=geojson,,,,,reviewed,0,188,us,p00007ys,",usp00007ys,",",us,",",origin,",,,,,ml,earthquake,M 3.5 - Central California,1213,Point,"[-118.627, 38.025, 2]",1213
0,3.28,Northern California,147823559490,1481749698661,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1020858,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1020858&format=geojson,,,,,reviewed,0,166,nc,1020858,",nc1020858,",",nc,",",nearby-cities,origin,phase-data,",9,0.2108,0.08,297,md,earthquake,M 3.3 - Northern California,1214,Point,"[-124.3655, 40.3755, 20.818]",1214
0,3.2,Central California,147818755910,1481749692980,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1020857,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1020857&format=geojson,,,,,reviewed,0,158,nc,1020857,",nc1020857,usp00007yq,",",nc,us,",",focal-mechanism,nearby-cities,origin,phase-data,",47,0.01351,0.06,52,ml,earthquake,M 3.2 - Central California,1215,Point,"[-121.1735, 36.5751667, 7.664]",1215
0,3.25,Central California,147813085060,1481749684580,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1020856,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1020856&format=geojson,,,,,reviewed,0,162,nc,1020856,",nc1020856,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,",30,0.03333,0.05,40,md,earthquake,M 3.3 - Central California,1216,Point,"[-121.3088333, 36.684, 3.873]",1216
0,2.74,"San Francisco Bay area, California",147809952120,1481749674130,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1020855,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1020855&format=geojson,,,,,reviewed,0,116,nc,1020855,",nc1020855,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,",32,0.02432,0.09,45,md,earthquake,"M 2.7 - San Francisco Bay area, California",1217,Point,"[-122.0925, 37.3091667, 6.88]",1217
0,2,Central California,147797815570,1481749663500,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1020853,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1020853&format=geojson,,,,,reviewed,0,62,nc,1020853,",nc1020853,",",nc,",",nearby-cities,origin,phase-data,",12,0.07658,0.05,86,md,earthquake,M 2.0 - Central California,1218,Point,"[-121.2765, 36.7771667, 10.662]",1218
0,2.18,Central California,147774531310,1481749637040,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1020848,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1020848&format=geojson,,,,,reviewed,0,73,nc,1020848,",nc1020848,",",nc,",",nearby-cities,origin,phase-data,",20,0.07658,0.04,100,md,earthquake,M 2.2 - Central California,1219,Point,"[-121.0573333, 36.585, 2.243]",1219
0,2.03,Central California,147768332420,1481749631839,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1020847,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1020847&format=geojson,,,,,reviewed,0,63,nc,1020847,",nc1020847,",",nc,",",nearby-cities,origin,phase-data,",6,0.1703,0.22,274,md,earthquake,M 2.0 - Central California,1220,Point,"[-118.7126667, 38.0816667, 7.925]",1220
0,2.02,Central California,147757894210,1481749615001,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1020845,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1020845&format=geojson,,,,,reviewed,0,63,nc,1020845,",nc1020845,",",nc,",",nearby-cities,origin,phase-data,",8,0.05135,0.14,147,md,earthquake,M 2.0 - Central California,1221,Point,"[-118.7128333, 38.0733333, 3.194]",1221
0,4.13,Central California,147722479650,1481749602564,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1020841,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1020841&format=geojson,,,,,reviewed,0,262,nc,1020841,",nc1020841,",",nc,",",nearby-cities,origin,phase-data,",17,0.03333,0.09,77,md,quarry blast,M 4.1 Quarry Blast - Central California,1222,Point,"[-121.6323333, 36.9076667, 0.145]",1222
0,2.82,"2km NNE of Granada Hills, CA",147710444150,1454031184140,,https://earthquake.usgs.gov/earthquakes/eventpage/ci3317625,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci3317625&format=geojson,,,,,reviewed,0,122,ci,3317625,",usp00007y7,ci3317625,",",us,ci,",",origin,phase-data,",17,,0.59,83,ml,earthquake,"M 2.8 - 2km NNE of Granada Hills, CA",1223,Point,"[-118.4955, 34.2861667, 1.26]",1223
0,2.68,"2km NE of Granada Hills, CA",147705811430,1454030292160,,https://earthquake.usgs.gov/earthquakes/eventpage/ci3317624,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci3317624&format=geojson,,,,,reviewed,0,110,ci,3317624,",usp00007y5,ci3317624,",",us,ci,",",origin,phase-data,",19,,0.52,84,ml,earthquake,"M 2.7 - 2km NE of Granada Hills, CA",1224,Point,"[-118.4886667, 34.2841667, 1.28]",1224
0,3.25,offshore Northern California,147690146500,1481749585333,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1020838,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1020838&format=geojson,,,,,reviewed,0,162,nc,1020838,",nc1020838,",",nc,",",nearby-cities,origin,phase-data,",11,0.2991,0.07,304,md,earthquake,M 3.3 - offshore Northern California,1225,Point,"[-124.4718333, 40.3398333, 25.455]",1225
0,3.2,offshore Northern California,147688759080,1481749580986,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1020837,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1020837&format=geojson,,,,,reviewed,0,158,nc,1020837,",nc1020837,",",nc,",",nearby-cities,origin,phase-data,",10,0.2847,0.05,304,md,earthquake,M 3.2 - offshore Northern California,1226,Point,"[-124.4553333, 40.348, 29.515]",1226
0,2.49,Central California,147684220370,1481749566890,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1020834,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1020834&format=geojson,,,,,reviewed,0,95,nc,1020834,",nc1020834,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,",32,0.02523,0.06,109,md,earthquake,M 2.5 - Central California,1227,Point,"[-121.1041667, 36.5191667, 4.307]",1227
0,2.2,"Seattle-Tacoma urban area, Washington",147675483320,1469405488330,,https://earthquake.usgs.gov/earthquakes/eventpage/uw10859433,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw10859433&format=geojson,,,,,reviewed,0,74,uw,10859433,",uw10859433,",",uw,",",origin,phase-data,",11,0.1528,0.21,86,md,earthquake,"M 2.2 - Seattle-Tacoma urban area, Washington",1228,Point,"[-122.3968333, 47.6678333, 16.647]",1228
0,2.91,"17km ESE of Estacion Coahuila, B.C., MX",147672508970,1454030892060,,https://earthquake.usgs.gov/earthquakes/eventpage/ci3317623,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci3317623&format=geojson,,,,,reviewed,0,130,ci,3317623,",ci3317623,",",ci,",",origin,phase-data,",3,0.9269,0.64,291,ml,earthquake,"M 2.9 - 17km ESE of Estacion Coahuila, B.C., MX",1229,Point,"[-114.842, 32.122, 6]",1229
0,3.08,"40km SSE of Estacion Coahuila, B.C., MX",147669878840,1454030291630,,https://earthquake.usgs.gov/earthquakes/eventpage/ci3317622,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci3317622&format=geojson,,,,,reviewed,0,146,ci,3317622,",ci3317622,",",ci,",",origin,phase-data,",3,1.178,0.61,298,mh,earthquake,"M 3.1 - 40km SSE of Estacion Coahuila, B.C., MX",1230,Point,"[-114.8155, 31.8705, 6]",1230
0,2.78,"20km SW of Ludlow, CA",147651578920,1454031459740,,https://earthquake.usgs.gov/earthquakes/eventpage/ci3317621,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci3317621&format=geojson,,,,,reviewed,0,119,ci,3317621,",ci3317621,",",ci,",",origin,phase-data,",10,,0.54,176,mh,earthquake,"M 2.8 - 20km SW of Ludlow, CA",1231,Point,"[-116.3366667, 34.6163333, 6]",1231
0,3,"25km SE of Estacion Coahuila, B.C., MX",147650609030,1454031183600,,https://earthquake.usgs.gov/earthquakes/eventpage/ci3317620,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci3317620&format=geojson,,,,,reviewed,0,138,ci,3317620,",ci3317620,",",ci,",",origin,phase-data,",3,1.019,0.61,293,ml,earthquake,"M 3.0 - 25km SE of Estacion Coahuila, B.C., MX",1232,Point,"[-114.815, 32.03, 6]",1232
0,3.27,"102km ESE of Estacion Coahuila, B.C., MX",147649265840,1454030891610,,https://earthquake.usgs.gov/earthquakes/eventpage/ci3317619,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci3317619&format=geojson,,,,,reviewed,0,165,ci,3317619,",ci3317619,",",ci,",",origin,phase-data,",3,1.427,0.64,320,mh,earthquake,"M 3.3 - 102km ESE of Estacion Coahuila, B.C., MX",1233,Point,"[-114.0311667, 31.7891667, 6]",1233
0,2.86,"San Francisco Bay area, California",147642741870,1481749519520,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1020824,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1020824&format=geojson,,,,,reviewed,0,126,nc,1020824,",nc1020824,",",nc,",",nearby-cities,origin,phase-data,",29,0.02432,0.08,45,md,earthquake,"M 2.9 - San Francisco Bay area, California",1234,Point,"[-122.09, 37.3091667, 6.66]",1234
0,2.87,"San Francisco Bay area, California",147639693530,1481749505370,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1020821,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1020821&format=geojson,,,,,reviewed,0,127,nc,1020821,",nc1020821,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,",31,0.02342,0.07,44,md,earthquake,"M 2.9 - San Francisco Bay area, California",1235,Point,"[-122.0888333, 37.3106667, 6.998]",1235
0,2,"Mount Rainier area, Washington",147621751660,1469405487690,,https://earthquake.usgs.gov/earthquakes/eventpage/uw10859428,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw10859428&format=geojson,,,,,reviewed,0,62,uw,10859428,",uw10859428,",",uw,",",origin,phase-data,",7,,0.14,149,md,earthquake,"M 2.0 - Mount Rainier area, Washington",1236,Point,"[-121.775, 46.856, -1.383]",1236
0,2.4,"27km SW of Ludlow, CA",147605254030,1454030592280,,https://earthquake.usgs.gov/earthquakes/eventpage/ci3317618,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci3317618&format=geojson,,,,,reviewed,0,89,ci,3317618,",ci3317618,",",ci,",",origin,phase-data,",10,,0.57,167,mh,earthquake,"M 2.4 - 27km SW of Ludlow, CA",1237,Point,"[-116.3953333, 34.5781667, 6]",1237
0,4.84,Central California,147589869790,1481749488050,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1020815,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1020815&format=geojson,,,,,reviewed,0,360,nc,1020815,",nc1020815,usp00007xk,",",nc,us,",",focal-mechanism,nearby-cities,origin,phase-data,",70,0.2405,0.11,110,md,earthquake,M 4.8 - Central California,1238,Point,"[-120.5285, 36.5521667, 12.303]",1238
0,3.08,Central California,147561272380,1481749481380,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1020813,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1020813&format=geojson,,,,,reviewed,0,146,nc,1020813,",nc1020813,",",nc,",",nearby-cities,origin,phase-data,",17,0.02883,0.11,90,md,quarry blast,M 3.1 Quarry Blast - Central California,1239,Point,"[-120.8288333, 36.6623333, -0.387]",1239
0,2.22,Central California,147546706830,1481749477262,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1020812,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1020812&format=geojson,,,,,reviewed,0,76,nc,1020812,",nc1020812,",",nc,",",nearby-cities,origin,phase-data,",10,0.06126,0.02,81,md,earthquake,M 2.2 - Central California,1240,Point,"[-121.3718333, 36.9265, 7.334]",1240
0,2.08,Northern California,147545425220,1481749473200,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1020811,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1020811&format=geojson,,,,,reviewed,0,67,nc,1020811,",nc1020811,",",nc,",",nearby-cities,origin,phase-data,",8,0.04865,0.05,123,md,earthquake,M 2.1 - Northern California,1241,Point,"[-121.492, 37.1291667, 3.444]",1241
0,2.59,Central California,147544719800,1481749467460,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1020810,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1020810&format=geojson,,,,,reviewed,0,103,nc,1020810,",nc1020810,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,",43,0.01441,0.04,47,md,earthquake,M 2.6 - Central California,1242,Point,"[-121.0931667, 36.511, 5.687]",1242
0,2.66,Central California,147529528060,1481749455597,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1020808,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1020808&format=geojson,,,,,reviewed,0,109,nc,1020808,",nc1020808,",",nc,",",nearby-cities,origin,phase-data,",20,0.01982,0.1,121,md,earthquake,M 2.7 - Central California,1243,Point,"[-121.0743333, 36.4896667, 3.275]",1243
0,3.01,Northern California,147516683420,1481749450384,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1020807,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1020807&format=geojson,,,,,reviewed,0,139,nc,1020807,",nc1020807,",",nc,",",nearby-cities,origin,phase-data,",24,0.03153,0.03,82,md,earthquake,M 3.0 - Northern California,1244,Point,"[-121.484, 37.057, 8.958]",1244
0,2,"10km SSW of Joshua Tree, CA",147493880470,1454030632950,,https://earthquake.usgs.gov/earthquakes/eventpage/ci12322355,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci12322355&format=geojson,,,,,reviewed,0,62,ci,12322355,",ci12322355,",",ci,",",origin,",,,,,mh,earthquake,"M 2.0 - 10km SSW of Joshua Tree, CA",1245,Point,"[-116.3363333, 34.0505, 1.73]",1245
0,2.9,Washington,147488668640,1469405485580,,https://earthquake.usgs.gov/earthquakes/eventpage/uw10859418,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw10859418&format=geojson,,,,,reviewed,0,129,uw,10859418,",uw10859418,",",uw,",",origin,phase-data,",21,0.05321,0.11,69,md,earthquake,M 2.9 - Washington,1246,Point,"[-119.3546667, 46.8728333, 2.617]",1246
0,2.1,Central California,147438859880,1481749431176,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1020802,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1020802&format=geojson,,,,,reviewed,0,68,nc,1020802,",nc1020802,",",nc,",",nearby-cities,origin,phase-data,",9,0.02072,0.03,118,md,earthquake,M 2.1 - Central California,1247,Point,"[-121.0978333, 36.5198333, 4.147]",1247
0,2.28,Central California,147430205460,1481749423170,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1020801,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1020801&format=geojson,,,,,reviewed,0,80,nc,1020801,",nc1020801,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,",39,0.03514,0.08,70,md,earthquake,M 2.3 - Central California,1248,Point,"[-121.0616667, 36.5431667, 7.747]",1248
0,2.88,"19km SSW of Little Lake, CA",147424971610,1454032068700,,https://earthquake.usgs.gov/earthquakes/eventpage/ci3317616,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci3317616&format=geojson,,,,,reviewed,0,128,ci,3317616,",ci3317616,",",ci,",",origin,phase-data,",9,,0.41,89,ml,earthquake,"M 2.9 - 19km SSW of Little Lake, CA",1249,Point,"[-118.0246667, 35.7928333, 0.53]",1249
0,3.01,Northern California,147398330370,1481749408291,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1020794,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1020794&format=geojson,,,,,reviewed,0,139,nc,1020794,",nc1020794,",",nc,",",nearby-cities,origin,phase-data,",10,0.1162,0.09,256,md,earthquake,M 3.0 - Northern California,1250,Point,"[-123.6276667, 40.7893333, 28.796]",1250
0,2.3,Northern California,147384060220,1481749403111,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1020791,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1020791&format=geojson,,,,,reviewed,0,81,nc,1020791,",nc1020791,",",nc,",",nearby-cities,origin,phase-data,",16,0.01892,0.11,76,md,earthquake,M 2.3 - Northern California,1251,Point,"[-121.822, 37.0671667, 3.925]",1251
0,2.36,"6km SSW of Lucerne Valley, CA",147344536870,1454031459220,,https://earthquake.usgs.gov/earthquakes/eventpage/ci3317615,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci3317615&format=geojson,,,,,reviewed,0,86,ci,3317615,",ci3317615,",",ci,",",origin,phase-data,",10,,0.44,100,mh,earthquake,"M 2.4 - 6km SSW of Lucerne Valley, CA",1252,Point,"[-116.984, 34.3906667, 0.06]",1252
0,2.13,Central California,147339173100,1481749393522,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1020789,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1020789&format=geojson,,,,,reviewed,0,70,nc,1020789,",nc1020789,",",nc,",",nearby-cities,origin,phase-data,",26,0.00991,0.05,85,md,earthquake,M 2.1 - Central California,1253,Point,"[-121.1576667, 36.5608333, 7.69]",1253
0,2.17,Northern California,147336251740,1481749388509,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1020788,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1020788&format=geojson,,,,,reviewed,0,72,nc,1020788,",nc1020788,",",nc,",",nearby-cities,origin,phase-data,",9,0.1955,0.05,300,md,earthquake,M 2.2 - Northern California,1254,Point,"[-124.3493333, 40.3958333, 25.825]",1254
